2025-02-03 00:00:11 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h21m3s572ms).
2025-02-03 15:49:49 - INFO  - 102 - Getting page 0
2025-02-03 15:49:49 - INFO  - 102 - Getting page 1
2025-02-03 15:49:50 - INFO  - 102 - Getting video by ID: 4
2025-02-03 15:49:50 - INFO  - 102 - Getting comments for video '4'
2025-02-03 15:50:34 - INFO  - 102 - Logging out user: 'spencer'
2025-02-03 15:50:34 - INFO  - 200 - Token blacklisted successfully: 'eyJhbGciOiJIUzM4NCJ9.eyJpc0FkbWluIjp0cnVlLCJzdWIiOiJzcGVuY2VyIiwiaWF0IjoxNzM4NjIyOTg5LCJleHAiOjE3Mzg2MjY1ODl9.YvHoHHrN3GHOINa4oy5SJCQAVgkcG4zCJ529UQO_UToS-hcYfV09GkAeDH-rahPB'
2025-02-03 15:50:34 - INFO  - 200 - Successfully logged out user: 'spencer'
2025-02-03 15:50:35 - INFO  - 102 - Getting page 0
2025-02-03 15:50:35 - INFO  - 102 - Getting page 1
2025-02-03 16:22:22 - INFO  - Starting HomemoviesApplication using Java 21.0.2 with PID 12801 (/Users/spencerbirch/Documents/Code/homemovies/homevideos/backend/target/classes started by spencerbirch in /Users/spencerbirch/Documents/Code/homemovies/homevideos)
2025-02-03 16:22:22 - DEBUG - Running with Spring Boot v3.2.2, Spring v6.1.3
2025-02-03 16:22:22 - INFO  - The following 1 profile is active: "production"
2025-02-03 16:22:23 - INFO  - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-03 16:22:23 - INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-03 16:22:23 - INFO  - Finished Spring Data repository scanning in 61 ms. Found 3 JPA repository interfaces.
2025-02-03 16:22:23 - INFO  - Tomcat initialized with port 8080 (http)
2025-02-03 16:22:23 - INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-03 16:22:23 - INFO  - Starting service [Tomcat]
2025-02-03 16:22:23 - INFO  - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-03 16:22:23 - INFO  - Initializing Spring embedded WebApplicationContext
2025-02-03 16:22:23 - INFO  - Root WebApplicationContext: initialization completed in 493 ms
2025-02-03 16:22:23 - INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-03 16:22:23 - INFO  - HikariPool-1 - Starting...
2025-02-03 16:22:23 - INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@71ad959b
2025-02-03 16:22:23 - INFO  - HikariPool-1 - Start completed.
2025-02-03 16:22:23 - INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-03 16:22:24 - INFO  - Starting ProtocolHandler ["http-nio-8080"]
2025-02-03 16:22:24 - INFO  - Tomcat started on port 8080 (http) with context path ''
2025-02-03 16:22:24 - INFO  - Started HomemoviesApplication in 1.707 seconds (process running for 1.969)
2025-02-03 16:22:30 - INFO  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-03 16:22:30 - INFO  - Initializing Servlet 'dispatcherServlet'
2025-02-03 16:22:30 - INFO  - Completed initialization in 1 ms
2025-02-03 16:22:30 - INFO  - 102 - Getting page 0
2025-02-03 16:22:30 - INFO  - 102 - Getting page 1
2025-02-03 16:22:30 - INFO  - 102 - Getting page 2
2025-02-03 16:22:43 - INFO  - 102 - Login attempt for user: 'spencer'
2025-02-03 16:22:43 - INFO  - 102 - Generating JWT token for user 'spencer'
2025-02-03 16:22:43 - INFO  - 200 - Set authentication cookie
2025-02-03 16:22:43 - INFO  - 200 - Successful login for user: 'spencer'
2025-02-03 16:22:43 - INFO  - 102 - Getting page 0
2025-02-03 16:22:43 - INFO  - 102 - Getting page 1
2025-02-03 16:22:43 - INFO  - 102 - Getting page 2
2025-02-03 16:22:45 - INFO  - 102 - Getting video by ID: 4
2025-02-03 16:22:45 - INFO  - 102 - Getting comments for video '4'
2025-02-03 16:22:48 - INFO  - 102 - Request to update video description for video ID: '4'
2025-02-03 16:22:48 - INFO  - 102 - Checking token blacklist status
2025-02-03 16:22:48 - INFO  - 200 - Token is not blacklisted: 'eyJhbGciOiJIUzM4NCJ9.eyJpc0FkbWluIjp0cnVlLCJzdWIiOiJzcGVuY2VyIiwiaWF0IjoxNzM4NjI0OTYzLCJleHAiOjE3Mzg2Mjg1NjN9.0SSRbxDTP6iJ_MQO-AZRQk5qswbZhG7Kb9CgApttEziS9foP0KUKCQDPQxI6S1Sb'
2025-02-03 16:22:48 - INFO  - 200 - Token validated for user 'spencer'
2025-02-03 16:22:48 - INFO  - 102 - Updating video description for video ID: '4' - 'This is the description'
2025-02-03 16:23:02 - INFO  - 102 - Getting video by ID: 4
2025-02-03 16:23:02 - INFO  - 102 - Getting comments for video '4'
2025-02-03 16:24:11 - INFO  - 102 - 'spencer' posting comment: 'test'
2025-02-03 16:24:11 - INFO  - 102 - Checking token blacklist status
2025-02-03 16:24:11 - INFO  - 200 - Token is not blacklisted: 'eyJhbGciOiJIUzM4NCJ9.eyJpc0FkbWluIjp0cnVlLCJzdWIiOiJzcGVuY2VyIiwiaWF0IjoxNzM4NjI0OTYzLCJleHAiOjE3Mzg2Mjg1NjN9.0SSRbxDTP6iJ_MQO-AZRQk5qswbZhG7Kb9CgApttEziS9foP0KUKCQDPQxI6S1Sb'
2025-02-03 16:24:11 - INFO  - 200 - Token validated for user 'spencer'
2025-02-03 16:24:11 - INFO  - 102 - Comment posted by user 'spencer'
2025-02-03 16:24:20 - INFO  - 102 - Getting page 0
2025-02-03 16:24:20 - INFO  - 102 - Getting page 1
2025-02-03 16:24:20 - INFO  - 102 - Getting page 2
2025-02-03 16:24:25 - INFO  - 102 - Logging out user: 'spencer'
2025-02-03 16:24:25 - INFO  - 200 - Token blacklisted successfully: 'eyJhbGciOiJIUzM4NCJ9.eyJpc0FkbWluIjp0cnVlLCJzdWIiOiJzcGVuY2VyIiwiaWF0IjoxNzM4NjI0OTYzLCJleHAiOjE3Mzg2Mjg1NjN9.0SSRbxDTP6iJ_MQO-AZRQk5qswbZhG7Kb9CgApttEziS9foP0KUKCQDPQxI6S1Sb'
2025-02-03 16:24:25 - INFO  - 200 - Successfully logged out user: 'spencer'
2025-02-03 16:24:26 - INFO  - 102 - Getting page 0
2025-02-03 16:24:26 - INFO  - 102 - Getting page 1
2025-02-03 16:24:26 - INFO  - 102 - Getting page 2
2025-02-03 16:24:34 - INFO  - 102 - Getting page 0
2025-02-03 16:24:34 - INFO  - 102 - Getting page 1
2025-02-03 16:24:35 - INFO  - 102 - Getting page 2
2025-02-03 16:40:36 - INFO  - Starting HomemoviesApplication using Java 21.0.2 with PID 13264 (/Users/spencerbirch/Documents/Code/homemovies/homevideos/backend/target/classes started by spencerbirch in /Users/spencerbirch/Documents/Code/homemovies/homevideos)
2025-02-03 16:40:36 - DEBUG - Running with Spring Boot v3.2.2, Spring v6.1.3
2025-02-03 16:40:36 - INFO  - The following 1 profile is active: "production"
2025-02-03 16:40:37 - INFO  - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-03 16:40:37 - INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-03 16:40:37 - INFO  - Finished Spring Data repository scanning in 56 ms. Found 3 JPA repository interfaces.
2025-02-03 16:40:37 - INFO  - Tomcat initialized with port 8080 (http)
2025-02-03 16:40:37 - INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-03 16:40:37 - INFO  - Starting service [Tomcat]
2025-02-03 16:40:37 - INFO  - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-03 16:40:37 - INFO  - Initializing Spring embedded WebApplicationContext
2025-02-03 16:40:37 - INFO  - Root WebApplicationContext: initialization completed in 476 ms
2025-02-03 16:40:37 - INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-03 16:40:37 - INFO  - HikariPool-1 - Starting...
2025-02-03 16:40:37 - INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@8f6b4ab
2025-02-03 16:40:37 - INFO  - HikariPool-1 - Start completed.
2025-02-03 16:40:38 - INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-03 16:40:38 - INFO  - Starting ProtocolHandler ["http-nio-8080"]
2025-02-03 16:40:38 - INFO  - Tomcat started on port 8080 (http) with context path ''
2025-02-03 16:40:38 - INFO  - Started HomemoviesApplication in 1.706 seconds (process running for 1.976)
2025-02-03 16:43:10 - INFO  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-03 16:43:10 - INFO  - Initializing Servlet 'dispatcherServlet'
2025-02-03 16:43:10 - INFO  - Completed initialization in 1 ms
2025-02-03 16:43:10 - INFO  - 102 - Creating new user: 'test2'
2025-02-03 16:43:11 - INFO  - 102 - Generating JWT token for user 'test2'
2025-02-03 16:43:11 - INFO  - 201 - New user created successfully with ID: '4' and username: 'test2'
2025-02-03 16:43:12 - INFO  - 102 - Creating new user: 'test2'
2025-02-03 16:43:12 - WARN  - 400 - Failed to create user with username: 'test2' - username already exists
2025-02-03 16:43:24 - INFO  - 102 - Creating new user: 'test3'
2025-02-03 16:43:24 - INFO  - 102 - Generating JWT token for user 'test3'
2025-02-03 16:43:24 - INFO  - 201 - New user created successfully with ID: '5' and username: 'test3'
2025-02-03 16:50:46 - INFO  - 102 - Creating new user: 'test4'
2025-02-03 16:50:46 - INFO  - 102 - Generating JWT token for user 'test4'
2025-02-03 16:50:46 - INFO  - 201 - New user created successfully with ID: '6' and username: 'test4'
2025-02-03 16:52:26 - INFO  - 102 - Creating new user: 'test5'
2025-02-03 16:52:26 - INFO  - 102 - Generating JWT token for user 'test5'
2025-02-03 16:52:26 - INFO  - 201 - New user created successfully with ID: '7' and username: 'test5'
2025-02-03 16:52:26 - INFO  - 102 - Getting page 0
2025-02-03 16:52:27 - INFO  - 102 - Getting page 1
2025-02-03 16:52:31 - INFO  - 102 - Getting page 0
2025-02-03 16:52:31 - INFO  - 102 - Getting page 1
2025-02-03 17:02:48 - INFO  - 102 - Creating new user: 'test'
2025-02-03 17:02:48 - WARN  - 400 - Failed to create user with username: 'test' - username already exists
2025-02-03 17:02:57 - INFO  - 102 - Getting page 0
2025-02-03 17:02:57 - INFO  - 102 - Getting page 1
2025-02-03 17:03:59 - INFO  - Starting HomemoviesApplication using Java 21.0.2 with PID 13671 (/Users/spencerbirch/Documents/Code/homemovies/homevideos/backend/target/classes started by spencerbirch in /Users/spencerbirch/Documents/Code/homemovies/homevideos)
2025-02-03 17:03:59 - DEBUG - Running with Spring Boot v3.2.2, Spring v6.1.3
2025-02-03 17:03:59 - INFO  - The following 1 profile is active: "production"
2025-02-03 17:03:59 - INFO  - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-03 17:03:59 - INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-03 17:03:59 - INFO  - Finished Spring Data repository scanning in 60 ms. Found 3 JPA repository interfaces.
2025-02-03 17:03:59 - INFO  - Tomcat initialized with port 8080 (http)
2025-02-03 17:03:59 - INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-03 17:03:59 - INFO  - Starting service [Tomcat]
2025-02-03 17:03:59 - INFO  - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-03 17:03:59 - INFO  - Initializing Spring embedded WebApplicationContext
2025-02-03 17:03:59 - INFO  - Root WebApplicationContext: initialization completed in 489 ms
2025-02-03 17:04:00 - INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-03 17:04:00 - INFO  - HikariPool-1 - Starting...
2025-02-03 17:04:00 - INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1d637673
2025-02-03 17:04:00 - INFO  - HikariPool-1 - Start completed.
2025-02-03 17:04:00 - INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-03 17:04:00 - INFO  - Starting ProtocolHandler ["http-nio-8080"]
2025-02-03 17:04:00 - INFO  - Tomcat started on port 8080 (http) with context path ''
2025-02-03 17:04:00 - INFO  - Started HomemoviesApplication in 1.677 seconds (process running for 1.932)
2025-02-03 17:04:16 - INFO  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-03 17:04:16 - INFO  - Initializing Servlet 'dispatcherServlet'
2025-02-03 17:04:16 - INFO  - Completed initialization in 2 ms
2025-02-03 17:04:16 - INFO  - 102 - Creating new user: 'test'
2025-02-03 17:04:16 - INFO  - 102 - Generating JWT token for user 'test'
2025-02-03 17:04:16 - INFO  - 201 - New user created successfully with ID: '1' and username: 'test'
2025-02-03 17:04:17 - INFO  - 102 - Getting page 0
2025-02-03 17:04:17 - INFO  - 102 - Getting page 1
2025-02-03 17:05:07 - INFO  - 102 - Logging out user: 'test'
2025-02-03 17:05:07 - WARN  - 500 - Token is null at blacklistToken, will not blacklist
2025-02-03 17:05:07 - INFO  - 200 - Successfully logged out user: 'test'
2025-02-03 17:05:08 - INFO  - 102 - Getting page 0
2025-02-03 17:05:08 - INFO  - 102 - Getting page 1
2025-02-03 17:05:18 - INFO  - 102 - Login attempt for user: 'test'
2025-02-03 17:05:18 - INFO  - 102 - Generating JWT token for user 'test'
2025-02-03 17:05:18 - INFO  - 200 - Set authentication cookie
2025-02-03 17:05:18 - INFO  - 200 - Successful login for user: 'test'
2025-02-03 17:05:18 - INFO  - 102 - Getting page 0
2025-02-03 17:05:18 - INFO  - 102 - Getting page 1
2025-02-03 17:06:35 - INFO  - 102 - Logging out user: 'test'
2025-02-03 17:06:35 - INFO  - 200 - Token blacklisted successfully: 'eyJhbGciOiJIUzM4NCJ9.eyJpc0FkbWluIjpmYWxzZSwic3ViIjoidGVzdCIsImlhdCI6MTczODYyNzUxOCwiZXhwIjoxNzM4NjMxMTE4fQ.UoMXruyI1_TmdFryeDz2VBnAI4PIYX2I8CxLLPNn_g1gIiFGtDNkIpcjFo3S3l07'
2025-02-03 17:06:35 - INFO  - 200 - Successfully logged out user: 'test'
2025-02-03 17:06:36 - INFO  - 102 - Getting page 0
2025-02-03 17:06:36 - INFO  - 102 - Getting page 1
2025-02-03 17:06:49 - INFO  - 102 - Creating new user: 'spencer'
2025-02-03 17:06:49 - INFO  - 102 - Generating JWT token for user 'spencer'
2025-02-03 17:06:49 - INFO  - 201 - New user created successfully with ID: '2' and username: 'spencer'
2025-02-03 17:06:50 - INFO  - 102 - Getting page 0
2025-02-03 17:06:50 - INFO  - 102 - Getting page 1
2025-02-03 17:07:34 - INFO  - 102 - Logging out user: 'spencer'
2025-02-03 17:07:34 - WARN  - 500 - Token is null at blacklistToken, will not blacklist
2025-02-03 17:07:34 - INFO  - 200 - Successfully logged out user: 'spencer'
2025-02-03 17:07:35 - INFO  - 102 - Getting page 0
2025-02-03 17:07:35 - INFO  - 102 - Getting page 1
2025-02-03 17:07:52 - INFO  - 102 - Creating new user: 'bri'
2025-02-03 17:07:52 - INFO  - 102 - Generating JWT token for user 'bri'
2025-02-03 17:07:52 - INFO  - 201 - New user created successfully with ID: '3' and username: 'bri'
2025-02-03 17:07:53 - INFO  - 102 - Getting page 0
2025-02-03 17:07:53 - INFO  - 102 - Getting page 1
2025-02-03 17:10:53 - INFO  - 102 - Logging out user: 'bri'
2025-02-03 17:10:53 - WARN  - 500 - Token is null at blacklistToken, will not blacklist
2025-02-03 17:10:53 - INFO  - 200 - Successfully logged out user: 'bri'
2025-02-03 17:10:54 - INFO  - 102 - Getting page 0
2025-02-03 17:10:54 - INFO  - 102 - Getting page 1
2025-02-03 17:11:10 - INFO  - 102 - Creating new user: 'tester'
2025-02-03 17:11:10 - INFO  - 102 - Generating JWT token for user 'tester'
2025-02-03 17:11:10 - INFO  - 201 - New user created successfully with ID: '4' and username: 'tester'
2025-02-03 17:11:11 - INFO  - 102 - Getting page 0
2025-02-03 17:11:11 - INFO  - 102 - Getting page 1
2025-02-03 17:12:42 - INFO  - Starting HomemoviesApplication using Java 21.0.2 with PID 13827 (/Users/spencerbirch/Documents/Code/homemovies/homevideos/backend/target/classes started by spencerbirch in /Users/spencerbirch/Documents/Code/homemovies/homevideos)
2025-02-03 17:12:42 - DEBUG - Running with Spring Boot v3.2.2, Spring v6.1.3
2025-02-03 17:12:42 - INFO  - The following 1 profile is active: "production"
2025-02-03 17:12:43 - INFO  - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-03 17:12:43 - INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-03 17:12:43 - INFO  - Finished Spring Data repository scanning in 61 ms. Found 3 JPA repository interfaces.
2025-02-03 17:12:43 - INFO  - Tomcat initialized with port 8080 (http)
2025-02-03 17:12:43 - INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-03 17:12:43 - INFO  - Starting service [Tomcat]
2025-02-03 17:12:43 - INFO  - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-03 17:12:43 - INFO  - Initializing Spring embedded WebApplicationContext
2025-02-03 17:12:43 - INFO  - Root WebApplicationContext: initialization completed in 498 ms
2025-02-03 17:12:43 - INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-03 17:12:43 - INFO  - HikariPool-1 - Starting...
2025-02-03 17:12:43 - INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@24aedcc5
2025-02-03 17:12:43 - INFO  - HikariPool-1 - Start completed.
2025-02-03 17:12:44 - INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-03 17:12:44 - INFO  - Starting ProtocolHandler ["http-nio-8080"]
2025-02-03 17:12:44 - INFO  - Tomcat started on port 8080 (http) with context path ''
2025-02-03 17:12:44 - INFO  - Started HomemoviesApplication in 1.734 seconds (process running for 1.995)
2025-02-03 17:12:44 - INFO  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-03 17:12:44 - INFO  - Initializing Servlet 'dispatcherServlet'
2025-02-03 17:12:44 - INFO  - Completed initialization in 1 ms
2025-02-03 17:12:45 - INFO  - 102 - Logging out user: 'tester'
2025-02-03 17:12:45 - WARN  - 500 - Token is null at blacklistToken, will not blacklist
2025-02-03 17:12:45 - INFO  - 200 - Successfully logged out user: 'tester'
2025-02-03 17:12:45 - INFO  - 102 - Getting page 0
2025-02-03 17:12:46 - INFO  - 102 - Getting page 1
2025-02-03 17:13:01 - INFO  - 102 - Creating new user: 'spencer'
2025-02-03 17:13:01 - INFO  - 102 - Generating JWT token for user 'spencer'
2025-02-03 17:13:01 - INFO  - 201 - New user created successfully with ID: '1' and username: 'spencer'
2025-02-03 17:13:01 - INFO  - 102 - Getting page 0
2025-02-03 17:13:01 - INFO  - 102 - Getting page 1
2025-02-03 17:15:20 - INFO  - 102 - Logging out user: 'spencer'
2025-02-03 17:15:20 - WARN  - 500 - Token is null at blacklistToken, will not blacklist
2025-02-03 17:15:20 - INFO  - 200 - Successfully logged out user: 'spencer'
2025-02-03 17:15:21 - INFO  - 102 - Getting page 0
2025-02-03 17:15:21 - INFO  - 102 - Getting page 1
2025-02-03 17:15:29 - INFO  - 102 - Creating new user: 'test'
2025-02-03 17:15:30 - INFO  - 102 - Generating JWT token for user 'test'
2025-02-03 17:15:30 - INFO  - 201 - New user created successfully with ID: '2' and username: 'test'
2025-02-03 17:16:50 - INFO  - 102 - Logging out user: 'test'
2025-02-03 17:16:50 - WARN  - 500 - Token is null at blacklistToken, will not blacklist
2025-02-03 17:16:50 - INFO  - 200 - Successfully logged out user: 'test'
2025-02-03 17:16:51 - INFO  - 102 - Getting page 0
2025-02-03 17:16:51 - INFO  - 102 - Getting page 1
2025-02-03 17:17:34 - INFO  - 102 - Creating new user: 'spencer'
2025-02-03 17:17:34 - WARN  - 400 - Failed to create user with username: 'spencer' - username already exists
2025-02-03 17:17:42 - INFO  - 102 - Creating new user: 'spencer2'
2025-02-03 17:17:42 - INFO  - 102 - Generating JWT token for user 'spencer2'
2025-02-03 17:17:42 - INFO  - 201 - New user created successfully with ID: '3' and username: 'spencer2'
2025-02-03 17:17:42 - INFO  - 102 - Getting page 0
2025-02-03 17:17:42 - INFO  - 102 - Getting page 1
2025-02-03 17:23:52 - INFO  - Starting HomemoviesApplication using Java 21.0.2 with PID 13992 (/Users/spencerbirch/Documents/Code/homemovies/homevideos/backend/target/classes started by spencerbirch in /Users/spencerbirch/Documents/Code/homemovies/homevideos)
2025-02-03 17:23:52 - DEBUG - Running with Spring Boot v3.2.2, Spring v6.1.3
2025-02-03 17:23:52 - INFO  - The following 1 profile is active: "production"
2025-02-03 17:23:52 - INFO  - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-03 17:23:52 - INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-03 17:23:52 - INFO  - Finished Spring Data repository scanning in 58 ms. Found 3 JPA repository interfaces.
2025-02-03 17:23:52 - INFO  - Tomcat initialized with port 8080 (http)
2025-02-03 17:23:52 - INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-03 17:23:52 - INFO  - Starting service [Tomcat]
2025-02-03 17:23:52 - INFO  - Starting Servlet engine: [Apache Tomcat/10.1.18]
